country3,icao,iata,lat,lon
CAN,CYRV,YRV,50.95833333,-118.1763889
CAN,CWRO,WRO,54.16,-131.66
CAN,CWSL,WSL,50.7,-119.29
CAN,CZAM,,50.682533,-119.228625
CAN,CWVF,WVF,49.11,-123.3
CAN,CYZP,YZP,53.24944444,-131.8130556
CAN,CZZP,ZZP,53.25,-131.833
CAN,CWFG,WFG,50.82,-128.91
CAN,CVTS,VTS,48.7719,-123.1144
CAN,CWEZ,WEZ,48.78,-123.04
CAN,CWTS,WTS,48.78,-123.13
CAN,CWUD,WUD,50.8667,-127.6167
CAN,CWZD,WZD,52.45,-131.2333
CAN,CVOU,VOU,49.45,-123.7
CAN,CVOS,VOS,49.46,-123.72
CAN,CWSP,WSP,48.38,-123.92
CAN,CWKS,WKS,57.2503,-122.7181
CAN,CXSS,XSS,50.3695,-119.0644
CAN,CWGT,WGT,49.49,-124.43
CAN,CYYD,YYD,54.82527778,-127.1827778
CAN,CWRU,WRU,50.11,-127.94
CAN,CYSW,,49.83495,-114.878519
CAN,CWSW,WSW,49.7453,-114.8828
CAN,CWGW,WGW,49.75,-114.88
CAN,CWSK,WSK,49.78,-123.16
CAN,CYSE,YSE,49.781667,-123.161944
CAN,CWBN,WBN,58.6833,-123.7667
CAN,CWCK,WCK,58.6833,-123.7667
CAN,CZST,ZST,55.933333,-129.983333
CAN,CWUS,WUS,49.56,-119.65
CAN,CXTL,XTL,51.67,-124.4
CAN,CYXT,YXT,54.46638889,-128.5775
CAN,CWSX,WSX,54.5167,-128.5667
CAN,CWTH,WTH,58.6525,-124.2319
CAN,CYGB,YGB,49.694167,-124.517778
CAN,CWBP,WBP,58.85,-125.2333
CAN,CYAZ,YAZ,49.082069,-125.772394
CAN,CWIN,WIN,48.4,-123.3
CAN,CWTI,WTI,54.2947,-130.8803
CAN,CVWC,VWC,49.2335,-123.1001
CAN,CYHC,YHC,49.2865,-123.1122
CAN,CWHC,WHC,49.3,-123.12
CAN,CYVR,YVR,49.19472222,-123.1838889
CAN,CWVR,WVR,49.205,-123.1358
CAN,CVMO,VMO,49.18,-123.08
CAN,,MOC,49.1819,-123.0781
CAN,CZVR,ZVR,49.1375,-122.8499
CAN,CYVK,,50.245972,-119.331786
CAN,CWVK,WVK,50.2333,-119.2833
CAN,CWJV,WJV,50.22,-119.19
CAN,CWPF,WPF,48.4333,-123.4333
CAN,CYIR,YIR,48.3667,-123.75
CAN,CWVV,WVV,48.5338,-123.4591
CAN,CYWH,YWH,48.43,-123.44
CAN,CYVI,YVI,48.4167,-123.3167
CAN,CWLM,WLM,48.41333333,-123.3247222
CAN,CWYJ,WYJ,48.46,-123.3
CAN,CYYJ,YYJ,48.64722222,-123.4258333
CAN,CWIR,WIR,48.367,-123.75
CAN,CXWF,XWF,49.11,-117.74
CAN,CWWA,WWA,49.35,-123.19
CAN,CVOA,VOA,50.077,-122.9461
CAN,CVOH,VOH,50.0742,-122.9469
CAN,CVOB,VOB,50.0878,-122.9756
CAN,CVOL,VOL,50.085,-122.9642
CAN,CVOT,VOT,50.0917,-122.9804
CAN,CVOC,,50.117,-122.95
CAN,CWWK,WWK,49.02,-122.78
CAN,CYWL,,52.1834,-122.054328
CAN,CYWL,YWL,52.18305556,-122.0541667
CAN,CWYL,WYL,51.44,-116.34
CAN,CWRE,WRE,50.8,-96.95
CAN,CWBL,WBL,51.75,-99.9
CAN,CYBS,YBS,50.067,-96.517
CAN,CWCF,WCF,52.36,-97.02
CAN,CYBV,YBV,52.358833,-97.018
CAN,CZTA,ZTA,51.784319,-96.692231
CAN,CYBR,YBR,49.91,-99.95194444
CAN,CYBT,YBT,57.889467,-101.679186
CAN,CYLO,YLO,49.8167,-99.65
CAN,CWZE,WZE,49.91,-99.36
CAN,CWNK,WNK,49.5,-98.03
CAN,CYCM,,58.776,-94.189
CAN,CYYQ,YYQ,58.73333333,-94.06666667
CAN,CPYQ,PYQ,58.73916667,-94.07527778
CAN,CYKO,,60.818692,-78.148578
CAN,CYLA,,59.296731,-69.599856
CAN,CXWN,,49.88333333,-97.13333333
CAN,CYCR,YCR,54.610917,-97.760197
CAN,,PIL,49.56,-99.07
CAN,,POY,49.5622,-99.0739
CAN,CWZT,WZT,51.1,-100.06
CAN,CYDN,YDN,51.101519,-100.053261
CAN,CXDW,XDW,49.4,-98.32
CAN,CWUG,WUG,50.1826,-98.3823
CAN,CZUG,ZUG,50.18,-98.38
CAN,CWEX,WEX,49.0,-97.24
CAN,,WUC,55.0,-95.0
CAN,,WUJ,53.0,-98.0
CAN,CWSZ,WSZ,51.08,-97.55
CAN,CYFO,YFO,54.678064,-101.681881
CAN,CZBR,ZBR,54.6833,-101.6833
CAN,CWFO,WFO,54.6833,-101.6833
CAN,CXFW,XFW,50.5488,-101.0856
CAN,CWWS,WWS,52.82,-97.62
CAN,CWGX,WGX,56.3589,-94.7042
CAN,CYGX,YGX,56.35888889,-94.70416667
CAN,,PGH,50.63,-97.05
CAN,CXGH,XGH,50.63,-96.98
CAN,CWGO,WGO,50.6333,-97.05
CAN,CYGM,YGM,50.628056,-97.043333
CAN,CZGM,ZGM,50.6333,-97.05
CAN,CYGO,,54.558383,-94.490856
CAN,CZGI,ZGI,54.839703,-94.078697
CAN,CYJD,,53.18638889,-99.26777778
CAN,CWJD,WJD,53.19,-99.27
CAN,CWGN,WGN,49.03,-97.56
CAN,CYGN,,49.0333,-97.5667
CAN,CYHL,YHL,51.167,-96.667
CAN,CWHH,WHH,53.0275,-100.9347
CAN,CZBD,ZBD,56.051583,-95.617964
CAN,CWIV,WIV,53.8667,-94.6667
CAN,CYIV,YIV,53.857125,-94.653672
CAN,CZJG,ZJG,54.518981,-98.04605
CAN,CZEE,,56.036711,-96.505911
CAN,CZKD,ZKD,56.04,-96.51
CAN,CZWH,ZWH,58.614281,-101.468964
CAN,CYAX,YAX,50.294731,-96.009969
CAN,CYLR,YLR,56.513333,-99.985278
CAN,CZGR,ZGR,52.044861,-95.466197
CAN,CYYL,YYL,56.86388889,-101.0761111
CAN,CWEI,WEI,49.28,-100.99
CAN,CXMD,XMD,49.19,-98.08
CAN,CYNN,,59.485186,-97.781031
CAN,CZBO,ZBO,55.794,-98.881
CAN,CYNE,YNE,53.958289,-97.844164
CAN,CWOJ,WOJ,50.5,-98.04
CAN,CYOH,YOH,54.933169,-95.278947
CAN,CZMN,ZMN,55.589319,-97.163608
CAN,CWPO,WPO,49.19,-98.9
CAN,CWEA,WEA,50.18,-96.06
CAN,CZNG,ZNG,52.996303,-97.273625
CAN,CWPG,WPG,49.9,-98.28
CAN,CYPG,YPG,49.903142,-98.273911
CAN,CZFG,ZFG,55.749106,-101.266242
CAN,CYRS,YRS,54.167403,-93.557436
CAN,CYYI,YYI,50.0167,-100.3167
CAN,CWXB,WXB,51.18,-101.36
CAN,CZTM,ZTM,55.863031,-92.081392
CAN,CWLO,WLO,49.78,-99.64
CAN,CWUT,WUT,50.45,-100.6
CAN,CZSN,ZSN,56.792844,-98.907228
CAN,CWSU,WSU,49.02,-95.6
CAN,CYST,YST,53.845497,-94.852186
CAN,CYSD,,50.2736111,-111.1894444
CAN,CZJN,ZJN,52.121494,-101.234431
CAN,CWEQ,WEQ,52.11,-101.23
CAN,CYBQ,YBQ,58.706081,-98.512219
CAN,CXBQ,XBQ,58.72,-98.5
CAN,,PQD,53.97,-101.1
CAN,CYQD,YQD,53.971283,-101.09105
CAN,CZLQ,ZLQ,55.318972,-97.707775
CAN,CYTH,YTH,55.804633,-97.862408
CAN,CZBQ,ZBQ,55.8033,-97.8625
CAN,CWII,WII,50.7,-96.57
CAN,CYVD,,49.878206,-100.918211
CAN,CWVJ,WVJ,49.8833,-96.4667
CAN,CYWB,YWB,54.916,-98.633
CAN,CWWP,WWP,50.66,-99.94
CAN,CWOO,WOO,50.71,-99.53
CAN,CXWI,XWI,49.883,-97.134
CAN,CWWI,WWI,49.9167,-97.2333
CAN,CYWG,YWG,49.91666667,-97.23333333
CAN,CXWG,XWG,49.92,-97.25
CAN,CXWN,XWN,49.89,-97.13
CAN,,FSM,35.33658333,-94.36744444
CAN,CZWG,ZWG,49.8999,-97.2596
CAN,CYAV,YAV,50.056256,-97.032517
CAN,CWWG,WWG,49.9,-97.1333
CAN,CXWL,XWL,50.1539,-97.7783
CAN,CZAC,ZAC,56.089536,-96.089203
CAN,CWXS,WXS,47.8,-64.83
CAN,CZBF,ZBF,47.62916667,-65.74833333
CAN,,ABT,46.43,-64.77
CAN,CYCL,YCL,47.990953,-66.330397
CAN,CZCR,ZCR,47.99,-66.33
CAN,CXNC,XNC,54.13055556,-111.6775
CAN,CZCR,,47.99,-66.33416667
CAN,CYES,YES,47.489939,-68.481783
CAN,,ERM,47.42,-68.32
CAN,CWZF,WZF,45.9642,-66.6547
CAN,,AFC,45.92,-66.61
CAN,CYFC,YFC,45.86888889,-66.53722222
